Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,age,-0.04429946839809418,0.0,0.04429946839809418
1,workclass,-0.001932973274961114,6.188222982927982e-07,0.001933592138811946
2,education,0.004239869769662619,0.004246387630701065,6.517711426567985e-06
3,education_num,-0.04816817864775658,0.0,0.04816817864775658
4,marital_status,0.007188902236521244,0.007193303667008877,4.401350906846346e-06
5,occupation,-0.00634806090965867,0.00014893655315972865,0.0064969975501298904
6,relationship,-0.17017830908298492,0.0,0.17017830908298492
7,race,0.00025370324146933854,0.00027248664991930127,1.8783412087941542e-05
8,sex,0.006560737267136574,0.006593568716198206,3.283121986896731e-05
9,capital_gain,-0.15832574665546417,0.0,0.15832574665546417
10,capital_loss,-0.006338632665574551,0.0,0.006338632665574551
11,hours_per_week,-0.023967251181602478,0.0,0.023967251181602478
12,native_country,0.0009389555198140442,0.0009389555198140442,0.0
