,b_id,expl,L,p,cent,s,seed
0,3159,hyperx,28.443442806352962,10,degree,"(0, 1)",4647
1,3159,hyperx,2.6153187714317303,10,degree,"(25, 26)",4647
2,3159,hyperx,61.121147973384296,10,degree,"(0, 2)",4647
3,3159,hyperx,93.37433724619426,10,degree,"(24, 26)",4647
4,3159,hyperx,34.21377806970372,10,eigenvector,"(0, 1)",4647
5,3159,hyperx,5.416714836692225,10,eigenvector,"(25, 26)",4647
6,3159,hyperx,48.596940600389544,10,eigenvector,"(0, 2)",4647
7,3159,hyperx,191.36739174492158,10,eigenvector,"(24, 26)",4647
8,3159,hyperx,34.21377806970372,1,eigenvector,"(0, 1)",4647
9,3159,hyperx,2.1735132294673374,1,eigenvector,"(25, 26)",4647
10,3159,hyperx,46.14047585956861,1,eigenvector,"(0, 2)",4647
11,3159,hyperx,49.22517150773891,1,eigenvector,"(24, 26)",4647
12,3159,hyperx,34.21377806970372,2,eigenvector,"(0, 1)",4647
13,3159,hyperx,3.0611839196406567,2,eigenvector,"(25, 26)",4647
14,3159,hyperx,46.14047585956861,2,eigenvector,"(0, 2)",4647
15,3159,hyperx,79.54522063960722,2,eigenvector,"(24, 26)",4647
16,2660,hyperx,25.19423672747418,10,degree,"(0, 1)",612
17,2660,hyperx,4.459922586396974,10,degree,"(25, 26)",612
18,2660,hyperx,46.59137237275412,10,degree,"(0, 2)",612
19,2660,hyperx,113.18017035561589,10,degree,"(24, 26)",612
20,2660,hyperx,24.406161053773943,10,eigenvector,"(0, 1)",612
21,2660,hyperx,6.506076353696882,10,eigenvector,"(25, 26)",612
22,2660,hyperx,44.805789218094716,10,eigenvector,"(0, 2)",612
23,2660,hyperx,168.48758498367522,10,eigenvector,"(24, 26)",612
24,2660,hyperx,24.406161053773943,1,eigenvector,"(0, 1)",612
25,2660,hyperx,5.538437735385629,1,eigenvector,"(25, 26)",612
26,2660,hyperx,40.26408624375317,1,eigenvector,"(0, 2)",612
27,2660,hyperx,116.07720001883435,1,eigenvector,"(24, 26)",612
28,2660,hyperx,24.406161053773943,2,eigenvector,"(0, 1)",612
29,2660,hyperx,3.982663862049282,2,eigenvector,"(25, 26)",612
30,2660,hyperx,40.26408624375317,2,eigenvector,"(0, 2)",612
31,2660,hyperx,112.02703426345116,2,eigenvector,"(24, 26)",612
32,3609,hyperx,51.91768796250437,10,degree,"(0, 1)",8014
33,3609,hyperx,4.533762160472307,10,degree,"(25, 26)",8014
34,3609,hyperx,131.24538558984264,10,degree,"(0, 2)",8014
35,3609,hyperx,130.49656720399176,10,degree,"(24, 26)",8014
36,3609,hyperx,81.21441775061348,10,eigenvector,"(0, 1)",8014
37,3609,hyperx,25.014897329444914,10,eigenvector,"(25, 26)",8014
38,3609,hyperx,93.10917121773716,10,eigenvector,"(0, 2)",8014
39,3609,hyperx,483.72913986529477,10,eigenvector,"(24, 26)",8014
40,3609,hyperx,81.21441775061348,1,eigenvector,"(0, 1)",8014
41,3609,hyperx,3.6893709911662977,1,eigenvector,"(25, 26)",8014
42,3609,hyperx,109.55075005100838,1,eigenvector,"(0, 2)",8014
43,3609,hyperx,113.99481345717292,1,eigenvector,"(24, 26)",8014
44,3609,hyperx,81.21441775061348,2,eigenvector,"(0, 1)",8014
45,3609,hyperx,12.355743813126676,2,eigenvector,"(25, 26)",8014
46,3609,hyperx,109.55075005100838,2,eigenvector,"(0, 2)",8014
