,b_id,expl,L,c,seed
0,3159,kernel_shap,344.8341875072255,52,4647
1,3159,lime,767.4936139734601,52,4647
2,3159,kernel_shap,50.9873533478445,1352,4647
3,3159,lime,125.35706955554495,1352,4647
4,2660,kernel_shap,367.1450858211483,52,612
5,2660,lime,547.995236751438,52,612
6,2660,kernel_shap,97.70107251458155,1352,612
7,2660,lime,127.61782244267032,1352,612
8,3609,kernel_shap,634.6626083378579,52,8014
9,3609,lime,626.1308125295096,52,8014
10,3609,kernel_shap,110.84208330263424,1352,8014
11,3609,lime,136.91227425945357,1352,8014
12,2130,kernel_shap,231.10391819357127,52,72
13,2130,lime,1022.210760300519,52,72
14,2130,kernel_shap,75.05565072905544,1352,72
15,2130,lime,158.42564963675926,1352,72
16,1261,kernel_shap,396.0264156960297,52,8548
17,1261,lime,578.724392650502,52,8548
18,1261,kernel_shap,65.22745473900392,1352,8548
19,1261,lime,116.81244063519875,1352,8548
20,1753,kernel_shap,693.8330947992276,52,10837
21,1753,lime,641.7096811759278,52,10837
22,1753,kernel_shap,69.87700731622992,1352,10837
23,1753,lime,119.64389614600664,1352,10837
24,1730,kernel_shap,361.4019100116215,52,5219
25,1730,lime,683.0308574528262,52,5219
26,1730,kernel_shap,94.91018994523225,1352,5219
27,1730,lime,135.61321117171104,1352,5219
28,1877,kernel_shap,146.98219149025658,52,3222
29,1877,lime,845.912226380704,52,3222
30,1877,kernel_shap,52.70287618937471,1352,3222
31,1877,lime,167.90478203700053,1352,3222
32,2922,kernel_shap,477.84360528298185,52,7542
33,2922,lime,669.3681574691436,52,7542
34,2922,kernel_shap,100.7687586903436,1352,7542
35,2922,lime,206.13396319133471,1352,7542
36,1186,kernel_shap,736.1748410448914,52,8172
37,1186,lime,695.931981076704,52,8172
38,1186,kernel_shap,73.05535744612057,1352,8172
39,1186,lime,145.31790068550512,1352,8172
40,40,kernel_shap,345.87991574600534,52,9035
41,40,lime,1068.1150472127747,52,9035
42,40,kernel_shap,88.37410889634891,1352,9035
43,40,lime,155.81445304322466,1352,9035
44,3676,kernel_shap,200.56883160726545,52,6010
45,3676,lime,971.9955952639774,52,6010
46,3676,kernel_shap,48.45899504178973,1352,6010
47,3676,lime,125.41436944065455,1352,6010
48,1058,kernel_shap,252.90467623909635,52,9972
49,1058,lime,665.7966504279595,52,9972
50,1058,kernel_shap,56.007609859471806,1352,9972
51,1058,lime,143.9265842329065,1352,9972
52,4774,kernel_shap,232.74445237464465,52,2463
53,4774,lime,678.3073060604188,52,2463
54,4774,kernel_shap,44.00353390099144,1352,2463
55,4774,lime,123.92924937023264,1352,2463
56,4515,kernel_shap,300.7061187373874,52,8928
57,4515,lime,769.4754350737563,52,8928
58,4515,kernel_shap,47.08491185947079,1352,8928
59,4515,lime,113.06190834979144,1352,8928
60,2191,kernel_shap,657.4823175671092,52,4282
61,2191,lime,276.5335328504851,52,4282
62,2191,kernel_shap,107.3057626785784,1352,4282
63,2191,lime,107.77179968806844,1352,4282
64,2115,kernel_shap,304.89287722668365,52,8612
65,2115,lime,797.5687405056736,52,8612
66,2115,kernel_shap,54.76143290279433,1352,8612
67,2115,lime,148.62476471048052,1352,8612
68,797,kernel_shap,743.9839291235189,52,7658
69,797,lime,607.9530539242118,52,7658
70,797,kernel_shap,89.1768706688014,1352,7658
71,797,lime,126.46884962373834,1352,7658
72,183,kernel_shap,319.4039890219409,52,6531
73,183,lime,661.7958372158064,52,6531
74,183,kernel_shap,78.10721958270514,1352,6531
75,183,lime,111.53698945208453,1352,6531
76,183,kernel_shap,286.4969420740785,52,5410
77,183,lime,726.503351280625,52,5410
78,183,kernel_shap,63.60757002386012,1352,5410
79,183,lime,110.4518008316136,1352,5410
80,1535,kernel_shap,184.24726175935027,52,9881
81,1535,lime,594.7672380897147,52,9881
82,1535,kernel_shap,60.19677355503956,1352,9881
83,1535,lime,104.82023964475698,1352,9881
84,306,kernel_shap,616.9794915120877,52,3596
85,306,lime,360.4704187268545,52,3596
86,306,kernel_shap,147.97531123449508,1352,3596
87,306,lime,114.90052256535697,1352,3596
88,2677,kernel_shap,398.5414272903868,52,2061
89,2677,lime,601.211997147544,52,2061
90,2677,kernel_shap,135.12800644350474,1352,2061
91,2677,lime,135.1877455023257,1352,2061
92,3806,kernel_shap,275.3804599807182,52,10817
93,3806,lime,669.1694193035765,52,10817
94,3806,kernel_shap,71.83540135571994,1352,10817
95,3806,lime,110.44404383129609,1352,10817
96,784,kernel_shap,708.2811322688228,52,7757
97,784,lime,673.7351922080367,52,7757
98,784,kernel_shap,83.20902355545665,1352,7757
99,784,lime,153.2791276320783,1352,7757
100,1178,kernel_shap,715.5672363625091,52,718
101,1178,lime,490.4992625929394,52,718
102,1178,kernel_shap,139.52593201418998,1352,718
103,1178,lime,132.92572694766687,1352,718
104,1011,kernel_shap,376.535771543876,52,8401
105,1011,lime,743.6184280754624,52,8401
106,1011,kernel_shap,93.50370316936882,1352,8401
107,1011,lime,138.4427214201716,1352,8401
108,984,kernel_shap,408.41338611824864,52,723
109,984,lime,452.4215953994414,52,723
110,984,kernel_shap,74.53514851543457,1352,723
111,984,lime,236.0638102915321,1352,723
112,2623,kernel_shap,233.5849930954887,52,2448
113,2623,lime,472.9983137598493,52,2448
114,2623,kernel_shap,43.34939375333804,1352,2448
115,2623,lime,114.24930386257942,1352,2448
116,4357,kernel_shap,411.4852308539951,52,764
117,4357,lime,476.6995655543643,52,764
118,4357,kernel_shap,75.2919182219124,1352,764
119,4357,lime,84.8756611663442,1352,764
120,1079,kernel_shap,149.1086145221271,52,8187
121,1079,lime,881.4220066039165,52,8187
122,1079,kernel_shap,31.415953305603896,1352,8187
123,1079,lime,143.48737913742602,1352,8187
124,4231,kernel_shap,545.126783578526,52,8660
125,4231,lime,445.5750849880493,52,8660
126,4231,kernel_shap,59.9493377016785,1352,8660
127,4231,lime,111.59983823928496,1352,8660
128,4487,kernel_shap,266.2313703435318,52,4779
129,4487,lime,520.4009161665088,52,4779
130,4487,kernel_shap,71.92874598065039,1352,4779
131,4487,lime,126.91538393858764,1352,4779
