Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,Store,0.0009585547377355397,0.0009586001979187131,4.548910936819084e-08
1,DayOfMonth,-0.04520704969763756,0.0,0.04520704969763756
2,Week,0.0005412468453869224,0.000635361997410655,9.411518112756312e-05
3,Month,0.0006233436288312078,0.0006810111808590591,5.7667526561999694e-05
4,Year,0.0,0.0,-0.0
5,DayOfYear,0.0031247606966644526,0.0031247606966644526,0.0
6,DayOfWeek,-0.1315387338399887,0.0,0.1315387338399887
7,Open,0.0,0.0,-0.0
8,Promo,-0.20310166478157043,0.0,0.20310166478157043
9,SchoolHoliday,-7.051389547996223e-05,0.00011602119775488973,0.00018653509323485196
10,StateHoliday,-3.501986066112295e-05,0.0,3.501986066112295e-05
11,StoreType,-0.01891416870057583,0.0,0.01891416870057583
12,Assortment,-0.009405999444425106,0.0,0.009405999444425106
13,CompetitionDistance,0.0006004209280945361,0.0010338672436773777,0.00043344631558284163
14,AvgSales,-0.3404292166233063,0.0,0.3404292166233063
15,AvgCustomers,-0.14719805121421814,0.0,0.14719805121421814
16,AvgSalesPerCustomer,-0.0485757440328598,0.0,0.0485757440328598
