Feature_Idx,Feature_Name,Value
0,Store,-0.04132486768759526
1,DayOfMonth,-0.008013047817477952
2,Week,-0.005949178112237919
3,Month,-0.006177440532447239
4,Year,0.0
5,DayOfYear,-0.0407091630745145
6,DayOfWeek,-0.08003067741396193
7,Open,0.0
8,Promo,-0.22566005414961096
9,SchoolHoliday,0.00579760269258466
10,StateHoliday,-0.061893022213817046
11,StoreType,-0.0029670509325212145
12,Assortment,0.0006603288831255067
13,CompetitionDistance,0.0029413143128331713
14,AvgSales,-0.302260646943966
15,AvgCustomers,-0.17319618743553974
16,AvgSalesPerCustomer,-0.015008465148701041
