Feature_Idx,Feature_Name,Value
0,Store,-0.005553183555603229
1,DayOfMonth,-0.013023735152350509
2,Week,0.0002916118833753916
3,Month,0.00016363779703778804
4,Year,0.0
5,DayOfYear,0.0010164997312756244
6,DayOfWeek,-0.13873715453677685
7,Open,0.0
8,Promo,-0.1385533454683092
9,SchoolHoliday,-0.00019088798099106994
10,StateHoliday,0.0
11,StoreType,-0.020086598396301152
12,Assortment,-0.012403653992547071
13,CompetitionDistance,0.004002609252929624
14,AvgSales,-0.24143328507741282
15,AvgCustomers,-0.10901764127943242
16,AvgSalesPerCustomer,-0.030050527254740247
