Feature_Idx,Feature_Name,Value
0,Store,-0.005785880707437979
1,DayOfMonth,-0.02044901793189285
2,Week,0.00048349610404759203
3,Month,-0.00018267288388144675
4,Year,0.0
5,DayOfYear,0.0013729511031935584
6,DayOfWeek,-0.12386498103384684
7,Open,0.0
8,Promo,-0.11637239384843935
9,SchoolHoliday,-0.0002608827094503443
10,StateHoliday,0.0
11,StoreType,-0.027420705301388855
12,Assortment,-0.011400377554909911
13,CompetitionDistance,0.006048933439764998
14,AvgSales,-0.2326812697423558
15,AvgCustomers,-0.10184633113099426
16,AvgSalesPerCustomer,-0.039476537872883445
